site_id,latitude,longitude,description,feature_name,comid,country,origin_study_code,data_source,nearest_eq_distance_km,nearest_eq_id,nearest_eq_magnitude,nearest_eq_depth_km,nearest_eq_depth_category,nearest_eq_year,nearest_eq_place,proximity_category
MART,45.792488,-121.92897,stream,Martha Creek,24505800.0,United States,CM,PNNL_River_Sampling,29.67,ushis2517,5.1,7.0,Shallow,1961.0,"28 km ENE of Amboy, Washington",Very Close (<100 km)
MASS1,47.2429,-70.5521,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,47.2,iscgem910394,6.3,15.0,Shallow,1925.0,"7 km NW of Saint-Pacôme, Canada",Very Close (<100 km)
MAYF,32.96156,-87.40832,stream,Mayfield Creek,18208464.0,United States,CM,PNNL_River_Sampling,559.98,iscgem814965,5.26,15.7,Shallow,1968.0,"5 km SSW of Norris City, Illinois",Distant (>500 km)
MCK-WAL,44.06957,-122.772306,stream,McKenzie River near Walterville,23772801.0,United States,WROL,PNNL_River_Sampling,108.17,uw10306313,5.6,19.608,Shallow,1993.0,"4 km E of Scotts Mills, Oregon",Moderate (100-500 km)
MEDC,29.390361,-98.667079,stream,Medio Creek,10835992.0,United States,AV1,PNNL_River_Sampling,420.54,tx2024ophu,5.1,3.2959,Shallow,2024.0,"17 km NNE of Hermleigh, Texas",Moderate (100-500 km)
MENC,29.775353,-98.709637,stream,Menger Creek,7851009.0,United States,AV1,PNNL_River_Sampling,380.65,tx2024ophu,5.1,3.2959,Shallow,2024.0,"17 km NNE of Hermleigh, Texas",Moderate (100-500 km)
MP-100019,43.1798044,-70.8911464,stream,Bellamy River,5844986.0,United States,CM,PNNL_River_Sampling,86.11,ushis1343,5.26,10.0,Shallow,1940.0,"8 km W of Tamworth, New Hampshire",Very Close (<100 km)
MP-100020,43.0881,-71.2346,stream,Lamprey River,5848094.0,United States,CM,PNNL_River_Sampling,87.85,ushis1343,5.26,10.0,Shallow,1940.0,"8 km W of Tamworth, New Hampshire",Very Close (<100 km)
MP-100021,43.0795,-71.0359,stream,North River,5848106.0,United States,CM,PNNL_River_Sampling,92.15,ushis1343,5.26,10.0,Shallow,1940.0,"8 km W of Tamworth, New Hampshire",Very Close (<100 km)
MP-100057,41.5236,-72.2067,stream,Yantic River,-9999.0,United States,CM,PNNL_River_Sampling,269.93,ushis1343,5.26,10.0,Shallow,1940.0,"8 km W of Tamworth, New Hampshire",Moderate (100-500 km)
MP-100068,43.71559,-72.41875,stream,White River,6084503.0,United States,CM,PNNL_River_Sampling,85.95,ushis1343,5.26,10.0,Shallow,1940.0,"8 km W of Tamworth, New Hampshire",Very Close (<100 km)
MP-100166,42.7231,-73.1978,stream,Hoosic River,22290173.0,United States,CM,PNNL_River_Sampling,160.01,usp0001yuv,5.1,12.5,Shallow,1983.0,"8 km WSW of Newcomb, New York",Moderate (100-500 km)
MP-100167,42.7638,-73.3372,stream,Little Hoosic River,22290155.0,United States,CM,PNNL_River_Sampling,150.3,usp0001yuv,5.1,12.5,Shallow,1983.0,"8 km WSW of Newcomb, New York",Moderate (100-500 km)
MP-100201,42.5055,-73.5062,stream,Kinderhook Creek,6186124.0,United States,CM,PNNL_River_Sampling,170.54,usp0001yuv,5.1,12.5,Shallow,1983.0,"8 km WSW of Newcomb, New York",Moderate (100-500 km)
MP-100379,39.96766,-75.185,stream,Schuylkill River,4784831.0,United States,CM,PNNL_River_Sampling,330.11,se609212,5.8,6.0,Shallow,2011.0,"11 km SSW of Mineral, Virginia",Moderate (100-500 km)
MP-100598,38.7819,-77.3884,stream,Pope's Head Creek,22339187.0,United States,CM,PNNL_River_Sampling,108.12,se609212,5.8,6.0,Shallow,2011.0,"11 km SSW of Mineral, Virginia",Moderate (100-500 km)
MP-100607,37.41459,-78.63541,stream,Holiday Creek,8611825.0,United States,CM,PNNL_River_Sampling,82.57,se609212,5.8,6.0,Shallow,2011.0,"11 km SSW of Mineral, Virginia",Very Close (<100 km)
MP-100656,35.3668,-77.4403,stream,Contentnea Creek,11574664.0,United States,CM,PNNL_River_Sampling,286.2,se609212,5.8,6.0,Shallow,2011.0,"11 km SSW of Mineral, Virginia",Moderate (100-500 km)
MP-100667,34.220658,-79.543785,stream,Great Pee Dee River,9175254.0,United States,CM,PNNL_River_Sampling,287.0,se60324281,5.1,4.14,Shallow,2020.0,"4 km SE of Sparta, North Carolina",Moderate (100-500 km)
MP-100670,33.6666,-79.8467,stream,Black River,9090922.0,United States,CM,PNNL_River_Sampling,331.96,se60324281,5.1,4.14,Shallow,2020.0,"4 km SE of Sparta, North Carolina",Moderate (100-500 km)
